PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Tema,Total de egresos,1618753780,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Capítulo,Servicios personales,861224228,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Concepto,Remuneraciones al personal,375874848,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Dependencias diversas,375874848,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Concepto,Remuneraciones adicionales y especiales,124322246,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,3398826,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",55201386,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Horas extraordinarias,30957207,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Compensaciones,34764827,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Concepto,Seguridad social,78216458,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Aportaciones de seguridad social,48144180,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Aportaciones a fondos de vivienda,16817756,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Aportaciones para seguros,13254522,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Concepto,Otras prestaciones sociales y económicas,263078499,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Cuotas para el fondo de ahorro y fondo de trabajo,30848517,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Indemnizaciones,736707,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Prestaciones y haberes de retiro,12973866,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Apoyos a la capacitación de los servidores públicos,114593,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Otras prestaciones sociales y económicas,218404816,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Concepto,Pago de estímulos a servidores públicos,19732177,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Estímulos,19732177,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Capítulo,Materiales y suministros,91986078,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",4100189,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de oficina",1877375,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2016,9,2,Egresos,Partida Genérica,Materiales y útiles de impresión y reproducción,105139,Cifras Definitivas
