PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Tema,Total de egresos,1643252444,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Capítulo,Servicios personales,882269906,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Concepto,Remuneraciones al personal,400959725,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Partida Genérica,Dependencias diversas,400959725,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Concepto,Remuneraciones adicionales y especiales,129758085,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,3651362,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",56136458,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Partida Genérica,Horas extraordinarias,21703571,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Partida Genérica,Compensaciones,36258640,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,12008054,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Concepto,Seguridad social,79014252,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2014,9,2,Egresos,Partida Genérica,Aportaciones de seguridad social,49657406,Cifras Definitivas
