PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Tema,Total de egresos,1853300227,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Capítulo,Servicios personales,974317629,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Concepto,Remuneraciones al personal,398812841,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,Dependencias diversas,398812841,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Concepto,Remuneraciones adicionales y especiales,141378745,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,3562443,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",57842806,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,Horas extraordinarias,38944375,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,Compensaciones,41029121,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Concepto,Seguridad social,86161311,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,Aportaciones de seguridad social,52102330,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,Aportaciones a fondos de vivienda,18351793,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,Aportaciones para seguros,15707188,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Concepto,Otras prestaciones sociales y económicas,323676040,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,Cuotas para el fondo de ahorro y fondo de trabajo,34508895,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2018,9,2,Egresos,Partida Genérica,Indemnizaciones,10708251,Cifras Definitivas
